Metabolite,Coefficient
POS.104.0635@5.656005,0.5095012651795796
POS.529.4335@8.2000065,-0.4410129963701809
POS.266.1156@5.656005,0.34908835928583243
NEG.188.0215@3.118352,-0.13093318564315243
NEG.499.0904@5.579267,0.13091272124993736
NEG.260.0227@3.1177266,-0.12451033532108696
POS.232.0534@3.1069963,-0.0999966475180251
POS.543.4495@8.200004,-0.0918615238136487
POS.183.02@2.1780014,-0.07438767860568583
NEG.621.4177@7.413963,0.07211177462200741
POS.183.0202@2.1780014,-0.06820674419773391
NEG.417.0821@7.376877,0.052105859092586596
POS.266.1174@5.656005,0.04095713903581695
NEG.558.1297@5.5803638,0.03182184360267882
NEG.654.4381@7.465804,0.022542991446119563
NEG.531.9692@3.1188157,-0.02024237933369571
NEG.264.0319@3.1174238,-0.01656974389855912
POS.529.433@7.8480105,-0.014527878117620564
NEG.552.1128@5.579016,0.011546113358470248
